iter	Passed	Remaining
0	2	649
1	3	577
2	5	536
3	6	505
4	8	483
5	9	471
6	10	458
7	12	448
8	13	441
9	15	436
10	16	430
11	17	425
12	19	425
13	20	422
14	26	495
15	27	487
16	28	478
17	30	470
18	31	464
19	32	458
20	34	452
21	35	448
22	36	445
23	38	440
24	39	435
25	40	431
26	42	427
27	43	423
28	44	419
29	46	416
30	47	413
31	48	404
32	49	401
33	51	399
34	52	397
35	53	394
36	55	392
37	56	389
38	57	386
39	59	384
40	60	381
41	61	379
42	63	377
43	64	374
44	65	372
45	67	370
46	68	368
47	69	366
48	71	364
49	72	362
50	73	360
51	75	358
52	76	356
53	77	354
54	79	352
55	80	350
56	81	348
57	83	346
58	84	345
59	85	343
60	87	341
61	88	340
62	89	338
63	91	336
64	92	334
65	93	332
66	95	330
67	96	329
68	97	327
69	99	325
70	100	324
71	102	323
72	103	321
73	104	319
74	105	317
75	107	316
76	108	314
77	123	352
78	125	350
79	126	348
80	127	345
81	129	343
82	130	341
83	132	339
84	133	337
85	134	335
86	136	333
87	137	330
88	138	328
89	139	326
90	141	324
91	142	322
92	143	320
93	145	318
94	146	316
95	147	314
96	149	312
97	150	310
98	151	308
99	153	306
100	154	304
101	155	302
102	157	300
103	158	298
104	159	296
105	161	294
106	162	292
107	163	291
108	165	289
109	166	287
110	167	285
111	169	283
112	170	282
113	171	280
114	173	278
115	174	276
116	175	275
117	177	273
118	178	271
119	179	269
120	181	268
121	182	266
122	184	265
123	185	263
124	187	262
125	188	260
126	190	259
127	191	257
128	193	256
129	194	254
130	196	253
131	197	251
132	199	250
133	201	249
134	202	247
135	204	246
136	205	244
137	220	259
138	222	257
139	223	255
140	225	254
141	226	252
142	228	250
143	229	248
144	231	247
145	232	245
146	233	243
147	235	241
148	236	239
149	237	237
150	239	236
151	240	234
152	241	232
153	243	230
154	244	228
155	246	227
156	247	225
157	249	223
158	250	222
159	251	220
160	253	218
161	255	217
162	256	215
163	257	213
164	259	212
165	260	210
166	261	208
167	263	206
168	264	205
169	266	203
170	267	201
171	268	199
172	270	198
173	271	196
174	272	194
175	274	193
176	275	191
177	276	189
178	277	187
179	279	186
180	280	184
181	282	182
182	283	181
183	284	179
184	286	177
185	287	176
186	288	174
187	290	172
188	291	171
189	293	169
190	294	168
191	296	166
192	297	164
193	298	163
194	300	161
195	301	159
196	302	158
197	310	159
198	312	158
199	313	156
200	318	156
201	319	155
202	321	153
203	322	151
204	324	150
205	325	148
206	326	146
207	328	145
208	329	143
209	330	141
210	332	140
211	333	138
212	335	136
213	336	135
214	337	133
215	339	131
216	340	130
217	341	128
218	343	126
219	344	125
220	345	123
221	347	121
222	348	120
223	349	118
224	351	117
225	352	115
226	353	113
227	354	112
228	356	110
229	357	108
230	358	107
231	360	105
232	361	104
233	363	102
234	364	100
235	365	99
236	367	97
237	368	95
238	369	94
239	371	92
240	372	91
241	373	89
242	375	88
243	376	86
244	377	84
245	379	83
246	380	81
247	381	80
248	383	78
249	384	76
250	386	75
251	387	73
252	388	72
253	390	70
254	391	69
255	392	67
256	394	65
257	395	64
258	396	62
259	398	61
260	399	59
261	400	58
262	416	58
263	417	56
264	419	55
265	420	53
266	421	52
267	423	50
268	424	48
269	425	47
270	427	45
271	428	44
272	430	42
273	431	40
274	432	39
275	434	37
276	435	36
277	436	34
278	438	32
279	439	31
280	440	29
281	442	28
282	443	26
283	445	25
284	446	23
285	447	21
286	448	20
287	450	18
288	451	17
289	452	15
290	454	14
291	455	12
292	456	10
293	458	9
294	459	7
295	461	6
296	462	4
297	463	3
298	465	1
299	466	0
